primary_breed,animal_type,total_intakes
Domestic Shorthair,Cat,54722
Labrador Retriever,Dog,11369
Pit Bull,Dog,11269
Chihuahua Shorthair,Dog,9035
German Shepherd,Dog,5832
Domestic Medium Hair,Cat,5158
Australian Cattle Dog,Dog,2698
Domestic Longhair,Cat,2346
Siamese,Cat,1924
Dachshund,Dog,1901
Siberian Husky,Dog,1700
Border Collie,Dog,1522
Boxer,Dog,1489
Great Pyrenees,Dog,1356
Miniature Poodle,Dog,1234
Australian Shepherd,Dog,1133
Yorkshire Terrier,Dog,1089
Catahoula,Dog,1030
Beagle,Dog,1006
Miniature Schnauzer,Dog,952
